id,name,slug,image,description,price,stock,available,created,updated,category_id
1,Hills science diet dog food - adult,hills-science-diet-dog-food-adult,photos/2025/04/11/f001_Hills.jpg,"Hill's® Science Diet® Adult dry dog food is specially formulated to fuel the energy needs of dogs during the prime of their life. Made with high quality, easy-to-digest ingredients.",259,94,True,2025-04-03 06:44:49.022000+00:00,2025-04-13 05:47:54.787037+00:00,4
2,Royal Canine dry food - mini adult,royal-canine-dry-food-mini-adult,photos/2025/04/11/f002_Packshot.jpg,Helps maintain a healthy weight in small breed dogs by perfectly meeting their high energy needs. Contains L-carnitine. Satisfies the fussy appetite of small breed dogs by means of its formulation and a selection of exclusive flavourings. This formula contains nutrients that help support a healthy skin. Enriched with EPA-DHA.,269,50,True,2025-04-03 06:48:34.296000+00:00,2025-04-13 06:23:55.934301+00:00,4
3,Chicka Pupatouille cubies,chicka-pupatouille-cubies,photos/2025/04/11/f003_Chicken.webp,"The Cubies cooking process can be broken down to 3 simple steps! First gently cooked sous-vide (just like our frozen food), then diced into Cubies and slowly air dried. Slowly air drying our food allows us to remove moisture from the Cubies without applying heat to them. This allows us to maintain the nutrient profile of the ingredients while making the Cubies a shelf stable product. Pawfect as a full meal, meal mixer, or treat!",68,44,True,2025-04-03 06:51:49.350000+00:00,2025-04-13 05:20:56.853648+00:00,4
4,Grain free beef recipe,grain-free-beef-recipe,photos/2025/04/11/f004_Beef.webp,"Ranch-raised beef plus nutrient-rich produce unite to make a low-carb, lower calorie, grain-free, and high protein dish. 100% human grade, for 100% of dogs—no matter their age!",78,37,True,2025-04-03 06:52:48.548000+00:00,2025-04-13 06:16:24.780929+00:00,4
5,Wishbone Bacon Chews Dog Chew Toy,wishbone-bacon-chews-dog-chew-toy,photos/2025/04/14/toy1.webp,Let your puppy try out his new teeth on the Benebone Bacon Flavor Puppy Wishbone Dog Toy! This durable nylon chew toy is made in the USA with real bacon flavor and is slightly softer than adult Benebone toys to help ease your puppy's teething pain and offers hours of gnaw-some fun.,98,15,True,2025-04-14 03:39:04.359881+00:00,2025-04-14 03:39:04.359892+00:00,2
6,SqueakAir Ball Dog Toy,squeakair-ball-dog-toy,photos/2025/04/14/toy2.webp,"AirDog Squeakerair Ball is based on the most popular dog toy of all time, the tennis ball. This squeakair ball is made of 100% pure tennis ball material, using the same durable materials as any high quality tennis ball and utilizes a new and improved felt covering that won't abrade your dog's teeth.",38,21,True,2025-04-14 03:40:28.692095+00:00,2025-04-14 03:40:28.692127+00:00,2
7,Natural Rubber Dog Tug Toy,natural-rubber-dog-tug-toy,photos/2025/04/14/toy3.webp,"Pull out all the stops at playtime. Our tug toy was designed to encourage safer pull, play, toss and tug sessions and strengthen the bond between you and your dog.
Designed with two handles to encourage interactive play, both multi-dog and dog and human. Its smooth, curved shape makes it easy to grab with a human hand or dog’s mouth. Its innovative, ergonomic shape protects your wrist by supporting the natural range of motion while providing a safe distance for your tugging pup.",128,18,True,2025-04-14 03:41:39.490810+00:00,2025-04-14 03:41:39.490848+00:00,2
8,Pepper Squeaky & Snuffle Dog Toy,pepper-squeaky-snuffle-dog-toy,photos/2025/04/14/toy4.webp,"Discover new ways to play, snuffle, chase and fetch with lambwolf's PEPPER with treat slots for nosework!",158,34,True,2025-04-14 03:42:49.688457+00:00,2025-04-14 03:42:49.688489+00:00,2
9,Peas Dog Latex Toy,peas-dog-latex-toy,photos/2025/04/14/toy5.webp,"A dynamic duo! Our “We Come in Peas” latex toy is perfect for playtime, anytime. Made with natural latex and a super loud squeaker, this toy is ready to keep the pod-dy going.",88,23,True,2025-04-14 03:44:16.377645+00:00,2025-04-14 03:44:16.377673+00:00,2
10,Birthday Crown Dog Plush Toy,birthday-crown-dog-plush-toy,photos/2025/04/14/toy6.webp,"Who's the birthday boy & girl? Pet Shop by Fringe Studio “If The Crown Fits” is perfect for playtime, anytime. Made with an elastic band and crazy crinkle paper, your dog can wear and then play with this adorable crown. Great for all sized dogs and not intended for aggressive chewers.",128,22,True,2025-04-14 03:45:37.970302+00:00,2025-04-14 03:45:37.970380+00:00,2
